draw,policy_name,vaccine_uptake,vsly_factor,cost_factor,nmb
1,No Vaccination,0.9,0.6,0.1,6775911552.114255
2,JCVI Spring 2025 (75+ only),0.9,0.6,0.1,2700849367.036274
2,Universal (All Ages),0.9,0.6,0.1,1619423268.1525888
2,All Adults (18+),0.9,0.6,0.1,19019187.681837283
2,No Vaccination,0.9,0.6,0.1,7419193000.392172
3,JCVI Spring 2025 (75+ only),0.9,0.6,0.1,2839161069.5235257
3,Universal (All Ages),0.9,0.6,0.1,1747526512.7237723
3,All Adults (18+),0.9,0.6,0.1,19823998.117737517
3,No Vaccination,0.9,0.6,0.1,7795940503.184694
4,JCVI Spring 2025 (75+ only),0.9,0.6,0.1,2506483674.184102
4,Universal (All Ages),0.9,0.6,0.1,1455449977.6514683
4,All Adults (18+),0.9,0.6,0.1,17566292.27695729
4,No Vaccination,0.9,0.6,0.1,6883684527.548715
5,JCVI Spring 2025 (75+ only),0.9,0.6,0.1,2817271240.9760532
5,Universal (All Ages),0.9,0.6,0.1,1691441756.8295832
5,All Adults (18+),0.9,0.6,0.1,19680331.287148084
5,No Vaccination,0.9,0.6,0.1,7736007250.294657
6,JCVI Spring 2025 (75+ only),0.9,0.6,0.1,3325352195.681012
6,Universal (All Ages),0.9,0.6,0.1,2009053545.9156978
6,All Adults (18+),0.9,0.6,0.1,23112820.051368214
6,No Vaccination,0.9,0.6,0.1,9128954357.466875
7,JCVI Spring 2025 (75+ only),0.9,0.6,0.1,2927003129.768875
7,Universal (All Ages),0.9,0.6,0.1,1780028158.2778368
7,All Adults (18+),0.9,0.6,0.1,20409607.680825483
7,No Vaccination,0.9,0.6,0.1,8036619145.383246
8,JCVI Spring 2025 (75+ only),0.9,0.6,0.1,2588116063.7863965
8,Universal (All Ages),0.9,0.6,0.1,1575527537.4802098
8,All Adults (18+),0.9,0.6,0.1,18068410.49360386
8,No Vaccination,0.9,0.6,0.1,7106554861.549473
9,JCVI Spring 2025 (75+ only),0.9,0.6,0.1,2441194346.971823
9,Universal (All Ages),0.9,0.6,0.1,1502437848.7582393
9,All Adults (18+),0.9,0.6,0.1,17137663.451821517
9,No Vaccination,0.9,0.6,0.1,6704923295.087882
10,JCVI Spring 2025 (75+ only),0.9,0.6,0.1,2730382609.821586
10,Universal (All Ages),0.9,0.6,0.1,1676558605.242546
10,All Adults (18+),0.9,0.6,0.1,19195972.88729719
10,No Vaccination,0.9,0.6,0.1,7499731823.0048065
1,JCVI Spring 2025 (75+ only),0.95,0.6,0.1,2466737704.1104555
1,Universal (All Ages),0.95,0.6,0.1,1181710221.3822966
1,All Adults (18+),0.95,0.6,0.1,17361042.10551122
1,No Vaccination,0.95,0.6,0.1,6775911552.114255
2,JCVI Spring 2025 (75+ only),0.95,0.6,0.1,2700849367.036274
2,Universal (All Ages),0.95,0.6,0.1,1297213838.5837238
2,All Adults (18+),0.95,0.6,0.1,19019187.681837283
2,No Vaccination,0.95,0.6,0.1,7419193000.392172
3,JCVI Spring 2025 (75+ only),0.95,0.6,0.1,2839161069.5235257
3,Universal (All Ages),0.95,0.6,0.1,1411503513.2537212
3,All Adults (18+),0.95,0.6,0.1,19823998.117737517
3,No Vaccination,0.95,0.6,0.1,7795940503.184694
4,JCVI Spring 2025 (75+ only),0.95,0.6,0.1,2506483674.184102
4,Universal (All Ages),0.95,0.6,0.1,1153881391.5460658
4,All Adults (18+),0.95,0.6,0.1,17566292.27695729
4,No Vaccination,0.95,0.6,0.1,6883684527.548715
5,JCVI Spring 2025 (75+ only),0.95,0.6,0.1,2817271240.9760532
5,Universal (All Ages),0.95,0.6,0.1,1355632562.7481904
5,All Adults (18+),0.95,0.6,0.1,19680331.287148084
5,No Vaccination,0.95,0.6,0.1,7736007250.294657
6,JCVI Spring 2025 (75+ only),0.95,0.6,0.1,3325352195.681012
6,Universal (All Ages),0.95,0.6,0.1,1613503500.8295217
6,All Adults (18+),0.95,0.6,0.1,23112820.051368214
6,No Vaccination,0.95,0.6,0.1,9128954357.466875
7,JCVI Spring 2025 (75+ only),0.95,0.6,0.1,2927003129.768875
7,Universal (All Ages),0.95,0.6,0.1,1432439770.105315
7,All Adults (18+),0.95,0.6,0.1,20409607.680825483
7,No Vaccination,0.95,0.6,0.1,8036619145.383246
8,JCVI Spring 2025 (75+ only),0.95,0.6,0.1,2588116063.7863965
8,Universal (All Ages),0.95,0.6,0.1,1268248241.6985846
8,All Adults (18+),0.95,0.6,0.1,18068410.49360386
8,No Vaccination,0.95,0.6,0.1,7106554861.549473
9,JCVI Spring 2025 (75+ only),0.95,0.6,0.1,2441194346.971823
9,Universal (All Ages),0.95,0.6,0.1,1213410879.517704
9,All Adults (18+),0.95,0.6,0.1,17137663.451821517
9,No Vaccination,0.95,0.6,0.1,6704923295.087882
10,JCVI Spring 2025 (75+ only),0.95,0.6,0.1,2730382609.821586
10,Universal (All Ages),0.95,0.6,0.1,1353048982.033532
10,All Adults (18+),0.95,0.6,0.1,19195972.88729719
10,No Vaccination,0.95,0.6,0.1,7499731823.0048065
1,JCVI Spring 2025 (75+ only),0.8,1.1,0.1,4492372691.4640045
1,Universal (All Ages),0.8,1.1,0.1,3850856308.0002403
1,All Adults (18+),0.8,1.1,0.1,19404274.956327982
1,No Vaccination,0.8,1.1,0.1,12351602237.761532
2,JCVI Spring 2025 (75+ only),0.8,1.1,0.1,4918411476.501129
2,Universal (All Ages),0.8,1.1,0.1,4218901081.7316675
2,All Adults (18+),0.8,1.1,0.1,21256015.036752183
2,No Vaccination,0.8,1.1,0.1,13523175443.320559
3,JCVI Spring 2025 (75+ only),0.8,1.1,0.1,5175473961.558749
3,Universal (All Ages),0.8,1.1,0.1,4479325165.470034
3,All Adults (18+),0.8,1.1,0.1,22180607.911997512
3,No Vaccination,0.8,1.1,0.1,14226792118.705702
4,JCVI Spring 2025 (75+ only),0.8,1.1,0.1,4567041666.200583
4,Universal (All Ages),0.8,1.1,0.1,3875227295.472295
4,All Adults (18+),0.8,1.1,0.1,19644751.52879004
4,No Vaccination,0.8,1.1,0.1,12555503031.400953
5,JCVI Spring 2025 (75+ only),0.8,1.1,0.1,5135289835.345533
5,Universal (All Ages),0.8,1.1,0.1,4406684082.351773
5,All Adults (18+),0.8,1.1,0.1,22018487.85059076
5,No Vaccination,0.8,1.1,0.1,14116502633.9515
6,JCVI Spring 2025 (75+ only),0.8,1.1,0.1,6064995060.492657
6,Universal (All Ages),0.8,1.1,0.1,5215492215.314544
6,All Adults (18+),0.8,1.1,0.1,25876263.779303737
6,No Vaccination,0.8,1.1,0.1,16669997683.97819
7,JCVI Spring 2025 (75+ only),0.8,1.1,0.1,5336450833.519616
7,Universal (All Ages),0.8,1.1,0.1,4599435091.861994
7,All Adults (18+),0.8,1.1,0.1,22839987.651236847
7,No Vaccination,0.8,1.1,0.1,14668779037.580267
