policy_name,vaccine_uptake,infection_rate,vaccine_efficacy,vsly_factor,cost_factor,nmb
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.8000000000000003,0.1,7941164553.02441
Universal (All Ages),0.9,0.0361,central,1.8000000000000003,0.1,5013872825.82639
All Adults (18+),0.9,0.0361,central,1.8000000000000003,0.1,24008301.32933359
No Vaccination,0.9,0.0361,central,1.8000000000000003,0.1,21841524344.06919
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.8000000000000003,0.1,7941164553.02441
Universal (All Ages),0.95,0.0361,central,1.8000000000000003,0.1,4079003297.035125
All Adults (18+),0.95,0.0361,central,1.8000000000000003,0.1,24008301.32933359
No Vaccination,0.95,0.0361,central,1.8000000000000003,0.1,21841524344.06919
JCVI Spring 2025 (75+ only),0.8,0.0361,central,1.9000000000000001,0.1,8380387651.626666
Universal (All Ages),0.8,0.0361,central,1.9000000000000001,0.1,7270842098.181597
All Adults (18+),0.8,0.0361,central,1.9000000000000001,0.1,24451340.213192
No Vaccination,0.8,0.0361,central,1.9000000000000001,0.1,23050514194.208614
JCVI Spring 2025 (75+ only),0.9,0.0361,central,1.9000000000000001,0.1,8380387651.626666
Universal (All Ages),0.9,0.0361,central,1.9000000000000001,0.1,5298383086.178219
All Adults (18+),0.9,0.0361,central,1.9000000000000001,0.1,24451340.213192
No Vaccination,0.9,0.0361,central,1.9000000000000001,0.1,23050514194.208614
JCVI Spring 2025 (75+ only),0.95,0.0361,central,1.9000000000000001,0.1,8380387651.626666
Universal (All Ages),0.95,0.0361,central,1.9000000000000001,0.1,4312153580.176532
All Adults (18+),0.95,0.0361,central,1.9000000000000001,0.1,24451340.213192
No Vaccination,0.95,0.0361,central,1.9000000000000001,0.1,23050514194.208614
JCVI Spring 2025 (75+ only),0.8,0.0361,central,2,0.1,8819610750.228922
Universal (All Ages),0.8,0.0361,central,2,0.1,7658072312.9542675
All Adults (18+),0.8,0.0361,central,2,0.1,24894379.097050413
No Vaccination,0.8,0.0361,central,2,0.1,24259504044.348034
JCVI Spring 2025 (75+ only),0.9,0.0361,central,2,0.1,8819610750.228922
Universal (All Ages),0.9,0.0361,central,2,0.1,5582893346.530046
All Adults (18+),0.9,0.0361,central,2,0.1,24894379.097050413
No Vaccination,0.9,0.0361,central,2,0.1,24259504044.348034
JCVI Spring 2025 (75+ only),0.95,0.0361,central,2,0.1,8819610750.228922
Universal (All Ages),0.95,0.0361,central,2,0.1,4545303863.317938
All Adults (18+),0.95,0.0361,central,2,0.1,24894379.097050413
No Vaccination,0.95,0.0361,central,2,0.1,24259504044.348034
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.1,0.2,474371876.7860561
Universal (All Ages),0.8,0.0361,central,0.1,0.2,164926224.27350295
All Adults (18+),0.8,0.0361,central,0.1,0.2,16476640.303740615
No Vaccination,0.8,0.0361,central,0.1,0.2,1288696891.6990352
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.1,0.2,474371876.7860561
Universal (All Ages),0.9,0.0361,central,0.1,0.2,24454890.845311463
All Adults (18+),0.9,0.0361,central,0.1,0.2,16476640.303740615
No Vaccination,0.9,0.0361,central,0.1,0.2,1288696891.6990352
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.1,0.2,474371876.7860561
Universal (All Ages),0.95,0.0361,central,0.1,0.2,-45780775.86878425
All Adults (18+),0.95,0.0361,central,0.1,0.2,16476640.303740615
No Vaccination,0.95,0.0361,central,0.1,0.2,1288696891.6990352
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.2,0.2,913594975.3883121
Universal (All Ages),0.8,0.0361,central,0.2,0.2,552156439.0461746
All Adults (18+),0.8,0.0361,central,0.2,0.2,16919679.187599026
No Vaccination,0.8,0.0361,central,0.2,0.2,2497686741.8384566
JCVI Spring 2025 (75+ only),0.9,0.0361,central,0.2,0.2,913594975.3883121
Universal (All Ages),0.9,0.0361,central,0.2,0.2,308965151.1971396
All Adults (18+),0.9,0.0361,central,0.2,0.2,16919679.187599026
No Vaccination,0.9,0.0361,central,0.2,0.2,2497686741.8384566
JCVI Spring 2025 (75+ only),0.95,0.0361,central,0.2,0.2,913594975.3883121
Universal (All Ages),0.95,0.0361,central,0.2,0.2,187369507.27262217
All Adults (18+),0.95,0.0361,central,0.2,0.2,16919679.187599026
No Vaccination,0.95,0.0361,central,0.2,0.2,2497686741.8384566
JCVI Spring 2025 (75+ only),0.8,0.0361,central,0.30000000000000004,0.2,1352818073.9905684
Universal (All Ages),0.8,0.0361,central,0.30000000000000004,0.2,939386653.8188467
All Adults (18+),0.8,0.0361,central,0.30000000000000004,0.2,17362718.071457434
